Date,clinicID,doctorID,specialization,day,tokenNumber,Index,servedAfterBreak,TimeCalled,TimeTaken,type,AvgWaitTime
2025-04-11,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Friday,A1,0,False,22:13:53,00:00:00,Advance,00:02:22.166666666
2025-04-11,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Friday,W2,1,False,22:26:43,00:12:50,walkin,00:02:22.166666666
2025-04-11,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Friday,W3,2,True,22:27:44,00:01:01,walkin,00:02:22.166666666
2025-04-11,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Friday,W4,3,True,22:27:46,00:00:02,walkin,00:02:22.166666666
2025-04-11,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Friday,W3,4,True,22:27:49,00:00:03,walkin,00:02:22.166666666
2025-04-11,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Friday,W4,5,True,22:28:06,00:00:17,walkin,00:02:22.166666666
2025-04-13,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Sunday,W2,0,False,13:14:24,00:00:00,walkin,00:00:07.750000
2025-04-13,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Sunday,A2,1,False,13:14:31,00:00:07,Advance,00:00:07.750000
2025-04-13,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Sunday,A3,2,False,13:14:31,00:00:00,Advance,00:00:07.750000
2025-04-13,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Sunday,A4,3,False,13:14:51,00:00:20,Advance,00:00:07.750000
2025-04-13,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Sunday,A5,4,False,13:14:58,00:00:07,Advance,00:00:07.750000
2025-04-13,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Sunday,A6,5,False,13:15:01,00:00:03,Advance,00:00:07.750000
2025-04-13,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Sunday,W3,6,False,13:15:25,00:00:24,walkin,00:00:07.750000
2025-04-13,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Sunday,W4,7,False,13:15:26,00:00:01,walkin,00:00:07.750000
2025-04-14,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Monday,W5,0,False,06:16:08,00:00:00,walkin,00:00:00
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A15,0,False,05:42:09,00:00:00,advance,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A7,1,False,05:42:10,00:00:01,advance,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A12,2,False,05:42:12,00:00:02,advance,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A23,3,False,05:42:14,00:00:02,advance,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A8,4,False,05:42:16,00:00:02,advance,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A14,5,False,05:42:21,00:00:05,advance,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W5,6,False,05:42:42,00:00:21,walkin,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W12,7,False,05:42:44,00:00:02,walkin,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A7,8,False,05:42:46,00:00:02,advance,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,W14,9,False,05:42:47,00:00:01,walkin,00:00:07.818181818
2025-04-16,QV072,0JRa28hpGhcsHZm7GPK8,Neonatology,Wednesday,A8,10,False,05:42:49,00:00:02,advance,00:00:07.818181818
